"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,informed_consent,,text,"Record ID",,,,,,,,,,,,,
consent_t_stamp,informed_consent,"<div class=""rich-text-field-label""><p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;""><strong>You are invited to take part in an online survey research study.</strong> </p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;""> </p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;""><span style=""font-weight: normal;"">This research survey is being conducted by</span> Dr. Andrea Murphy, Dr. David Gardner, Dr. Sherry Stewart, Dr. Niki Kiepek, Dr. Igor Yakovenko, and Mr. Bill Berryman. Dr. Murphy is a faculty member in the College of Pharmacy, School of Nursing, and Department of Psychiatry at Dalhousie University. Dr. Gardner is faculty member in the College of Pharmacy, and Department of Psychiatry at Dalhousie University. Dr. Stewart is a faculty member in the Psychiatry, Psychology and Neuroscience, and Community Health and Epidemiology departments at Dalhousie University. Dr. Kiepek is a faculty member in the School of Occupational Therapy at Dalhousie University. Dr. Yakovenko is a faculty member of the Department of Psychiatry, and Psychology and Neuroscience departments at Dalhousie University. Mr. Berryman is Chair of the Seniors’ Advisory Council of Nova Scotia.</p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;""> </p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;"">The online survey has been made available by Dalhousie University using the research electronic data capture tool called REDCap.</p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;""> </p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;""><span style=""font-weight: normal;"">The purpose of this survey</span> is to identify factors reported by older adults that are associated with decreasing and stopping sleeping pills. Specifically, we are interested in learning about experiences with sleeping pills that are also called benzodiazepine receptor agonists (BZRAs). The following table shows the medication names of the BZRAs. </p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;""> </p> <table style=""border-collapse: collapse;""> <tbody> <tr style=""height: 15pt;""> <td style=""width: 108.75pt; padding: 0cm; height: 15pt;""> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif;"">Zopiclone</p> </td> <td style=""width: 81pt; padding: 0cm; height: 15pt;""> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif;"">Temazepam</p> </td> </tr> <tr style=""height: 14.25pt;""> <td style=""width: 108.75pt; padding: 0cm; height: 14.25pt;""> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif;"">Lorazepam</p> </td> <td style=""width: 81pt; padding: 0cm; height: 14.25pt;""> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif;"">Oxazepam</p> </td> </tr> <tr style=""height: 14.25pt;""> <td style=""width: 108.75pt; padding: 0cm; height: 14.25pt;""> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif;"">Clonazepam</p> </td> <td style=""width: 81pt; padding: 0cm; height: 14.25pt;""> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif;"">Triazolam</p> </td> </tr> <tr style=""height: 14.25pt;""> <td style=""width: 108.75pt; padding: 0cm; height: 14.25pt;""> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif;"">Alprazolam</p> </td> <td style=""width: 81pt; padding: 0cm; height: 14.25pt;""> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif;"">Zolpidem</p> </td> </tr> <tr style=""height: 14.25pt;""> <td style=""width: 108.75pt; padding: 0cm; height: 14.25pt;""> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif;"">Bromazepam</p> </td> <td style=""width: 81pt; padding: 0cm; height: 14.25pt;""> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif;"">Eszopiclone</p> </td> </tr> <tr style=""height: 14.25pt;""> <td style=""width: 108.75pt; padding: 0cm; height: 14.25pt;""> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif;"">Chlordiazepoxide</p> </td> <td style=""width: 81pt; padding: 0cm; height: 14.25pt;""> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif;"">Flurazepam</p> </td> </tr> <tr style=""height: 14.25pt;""> <td style=""width: 108.75pt; padding: 0cm; height: 14.25pt;""> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif;"">Diazepam</p> </td> <td style=""width: 81pt; padding: 0cm; height: 14.25pt;""> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif;"">Nitrazepam</p> </td> </tr> </tbody> </table> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;""> </p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;"">Information gathered by this survey will help the researchers understand people’s perspectives on taking sleeping pills and their experiences when attempting to stop their use. The survey lists several factors thought to be associated with difficulties stopping sleeping pills. You will be asked to rate your level of agreement on statements about these factors. You will be also asked questions related to your personality to see how personality type is related to stopping sleeping pills. The researchers will use the data to improve the safe use of sleeping pills in older adults.</p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;""> </p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;"">This survey is for people:</p> <ul> <li style=""line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration: none;"">65 years of age or older </li> <li style=""line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration: none;"">live independently (e.g., do not live in a nursing home or in a long-term care centre)</li> <li style=""line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration: none;"">currently taking a sleeping pill or stopped taking a sleeping pill within the past 2 years </li> </ul> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;"">You will be asked questions to verify your eligibility at the start of the survey.</p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;""> </p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;""><span style=""font-weight: normal;"">In this survey, you will be asked</span> to rate your agreement with statements about your experiences while taking sleeping pills and attempting to stop them. There are also questions about your demographics, health status, and current use of medications for sleep. The survey is expected to take 30 to 50 minutes for you to complete.   </p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;""> </p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;""><span style=""font-weight: normal;"">We will NOT ask for your name or any personal information that could identify you. This makes your answers anonymous. </span></p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;""> </p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;""><span style=""font-weight: normal;"">Your participation</span> in this research <span style=""font-weight: normal;"">is entirely your choice</span>. You are welcome to stop the survey at any time if you no longer want to participate. All you need to do is close your internet browser page. You will not be able to change your mind about participating in the survey after you complete it. This is because we will not be able to identify your responses from the other participants.  </p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;""> </p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;"">Only the lead researcher, Dr. Andrea Murphy, and the co-investigators, Dr. David Gardner and Dr. Igor Yakovenko will have access to the survey results. </p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;""> </p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;"">When this research study is complete, the main findings will be shared publicly at the sleepstudy.ca website. The results will also be shared with health care professionals through conference presentations and professional publications. Dr. Murphy will keep the anonymous survey information for 6 years, after which it will be securely destroyed. </p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;""> </p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;"">The risks associated with participating in this study are considered low. Some people may reflect on their sleeping pill use from completing the survey and, if so, are encouraged to speak with their health care provider (i.e., prescriber, pharmacist). There is no expected benefit to you from participating in this research.   </p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;""> </p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;"">You should discuss any questions you have about this study through the dedicated email for this study <a style=""color: #954f72; text-decoration: underline;"" href=""mailto:sleepingpillsurvey@dal.ca"">sleepingpillsurvey@dal.ca</a> and Dr. Murphy will respond to you. Alternatively, you can phone 1-844-929-6762.</p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;""> </p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;"">If you have any ethical concerns about your participation in this research, you may contact Research Ethics, Dalhousie University at (902) 494-3423, or email ethics@dal.ca (and reference REB file # 2020-5201).”</p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;""> </p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;""> </p> <p style=""margin: 0cm; line-height: normal; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;"">If you agree to begin the survey, click <span style=""font-weight: normal;"">PARTICIPATE IN SURVEY</span> and then click <span style=""font-weight: normal;"">SUBMIT</span>. In doing so, you are indicating that you wish to participate.</p></div>",text,"Consent timestamp",,,datetime_dmy,,,,,,,,,," @NOW @HIDDEN"
consent_yn,informed_consent,,radio,,"1, Participate in survey | 2, Leave survey",,,,,,,y,,,,,
age_cat,screening_questions,,yesno,"Are you 65 or older? ",,,,,,,,y,,,,,
confirm_sp_use,screening_questions,,yesno,"<div class=""rich-text-field-label""><p>In the past two (2) years, have you ""regularly"" taken any of the following prescribed medications for sleep?</p> <p> </p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 31.73178925035361%;""><span style=""font-weight: normal;"">Alprazolam </span><br /><span style=""font-weight: normal;"">Bromazepam </span><br /><span style=""font-weight: normal;"">Chlordiazepoxide </span><br /><span style=""font-weight: normal;"">Clonazepam </span><br /><span style=""font-weight: normal;"">Diazepam </span></td> <td style=""width: 31.73178925035361%;""><span style=""font-weight: normal;"">Eszopiclone </span><br /><span style=""font-weight: normal;"">Flurazepam </span><br /><span style=""font-weight: normal;"">Lorazepam </span><br /><span style=""font-weight: normal;"">Nitrazepam </span><br /><span style=""font-weight: normal;"">Oxazepam </span></td> <td style=""width: 31.73178925035361%;""><span style=""font-weight: normal;"">Temazepam </span><br /><span style=""font-weight: normal;"">Triazolam </span><br /><span style=""font-weight: normal;"">Zolpidem </span><br /><span style=""font-weight: normal;"">Zopiclone</span></td> </tr> </tbody> </table> <p> </p> <p><span style=""font-weight: normal;"">""Regularly"" means that</span><span style=""font-weight: normal;""> at some point in the last 2 years you took the medication:</span></p> <ul> <li><span style=""font-weight: normal;"">to help with sleep </span></li> <li><span style=""font-weight: normal;"">on 3 or more nights per week </span></li> <li><span style=""font-weight: normal;"">for 3 months or longer </span></li> </ul> <p><span style=""font-weight: normal;"">You do not need to be taking the medication currently to participate in this survey. </span><br /><span style=""font-weight: normal;"">You can take the medication for sleep and other reasons, such as anxiety. </span></p></div>",,,,,,,,y,,,,,
scrn_stopped_bzra,screening_questions,,yesno,"<div class=""rich-text-field-label""><p>Have you stopped taking these medications? <br /><br /><span style=""font-weight: normal;"">""Yes"": you no longer take them</span><br /><span style=""font-weight: normal;"">""No"": you take them regularly or every now and again</span></p></div>",,,,,,,,y,,,,,
confirm_stop_attempt,screening_questions,,yesno,"<div class=""rich-text-field-label""><p>Have you attempted to reduce or stop taking your sleeping pills at least once in the past two years? <br /><br /><span style=""font-weight: normal;"">This includes any of the following: </span></p> <ul> <li><span style=""font-weight: normal;"">gradually reducing your dose</span></li> <li><span style=""font-weight: normal;"">stopping for several days or weeks</span></li> <li><span style=""font-weight: normal;"">not taking your bedtime dose every now and then on purpose</span></li> </ul></div>",,,,,,,"[scrn_stopped_bzra] = '0'",y,,,,,
nursing_home,screening_questions,,yesno,"Do you live in a nursing home or long-term care facility? ",,,,,,,,y,,,,,
survey_t_stamp,about_you,"<div class=""rich-text-field-label""><p>You are eligible to participate<br /><br /><span style=""font-weight: normal;"">The survey questions begin here. </span></p></div>",text,"Survey start timestamp",,,datetime_dmy,,,,,,,,,," @NOW @HIDDEN"
age,about_you,,text,"What is your age?",,"Enter years of age, ex., 81",integer,65,120,,,y,,,,,
